First Name          |Last Name           |  Age|Score
--------------------+--------------------+-----+-----
Aaron                Grimm                   30    86
Aaron                Koressel                33    86
Aaron                Russo                   30    86
Abigail              Kelley                  57    67
Abraham              Harper                  58    85
Abraham              Howard                  26    82
Ada                  Parker                  26    72
Ada                  Walker                  61    70
Adam                 Faruqi                  38    89
Adam                 Fuchs                   21    85
Adam                 Gates                   19    96
Adam                 Wermus                  26    90
Adam                 Woodbury                34    86
Addie                Chandler                54    80
Addielyn             Thurston                18    83
Adelaide             Carter                  20    84
Adelaide             Clark                   74    82
Adison               Scott                   53    70
Adrian               Owens                   35    93
Adrian               Bell                    62    85
Adrian               Maruri                  58    70
Adrian               Molina                  46    68
Aida                 Higgins                 50    77
Aimei                Kutt                    65    69
AJ                   Zmudosky                21    77
Alan                 Adams                   47    77
Alan                 Edwards                 45    70
Alan                 Browning                45    77
Albert               Richardson              34    67
Alberta              Barrett                 55    74
Alex                 Iles                    64    70
Alex                 Marino                  36    78
Alex                 Mohr                    28    94
Alexandra            Zalucky                 36    91
Alexandro            Campos                  21    72
Alfonso              Caparrini               22    97
Alicea               Lin Engquist            52    78
Alison               Fernandez               41    75
Alissa               Hunt                    20    86
Allen                Fogle                   66    75
Allison              Bianchi                 24    75
Allison              Parker                  30    74
Alma                 Fernandez               31    74
Alon                 Tamir Winterstein       51    69
Alvin                Chea                    55    70
Aly                  Fidiam-Smith            41    81
Alyssa               Del Vigna               38    78
Alyssa               Mar                     47    81
Alyssa               Minko                   51    82
Alyssa               Murphy                  42    84
Alyssa               Park                    48    84
Alyssa               Promessi                30    75
Amanda               Goodpaster              28    88
Amandeep             Singh                   32    93
Amelia               Williams                62    78
Amit                 Ganapati Baadkar        51    74
Amy                  Perry                   18    72
Amy                  H. Chen                 74    70
Amy                  Hershberger             45    74
Ana                  Gabriela Lacaze         40    77
Ana                  Landauer                70    76
Ana                  Ram'rez Gonz'les        45    69
Andie                Sanchez                 22    84
Andrea               Aleman                  65    70
Andrea               Goh                     53    76
Andrea               Warren                  27    74
Andrea               Zomorodian              36    79
Andreas              Procopiou               55    77
Andrew               Ryan                    20    86
Andrew               Beall                   61    70
Andrew               Butts                   41    68
Andrew               Jimenez                 43    84
Andrew               Kinney                  74    79
Andrew               Page                    62    78
Andrew               Perez                   45    76
Andrew               Pienaar                 30    76
Andrew               Stanton                 20    90
Andy                 Dat Mai                 18    80
Andy                 Grisdale                62    69
Andy                 Yu                      51    71
Angela               Marie Mistretta         29    67
Anna                 Cameron                 36    94
Anne                 Pia                     53    67
Annette              Wang                    21    81
Anthony              A. Apodaca              26    96
Anthony              Baldino                 61    78
Anthony              Muscarella              25    69
Antony               Wells                   53    72
Ariela               Nurko Federov           24    81
Arik                 Ehle                    22    76
Arjun                Rihan                   23    86
Arlene               Chan                    33    68
Armando              Gutierrez Gonzalez      70    78
Arnold               Grant                   51    83
Arnold               Wells                   63    80
Arthur               Mason                   19    77
Arturo               Aguilar                 29    90
Athena               Xenakis                 31    80
Aurica               Hayes                   66    72
Ava                  Morse                   63    73
Axel                 Geddes                  33    82
Barney               Jones                   49    81
Bayani               Inclano                 74    79
BeiBei               Monter                  28    72
Belinda              Walker                  40    79
Ben                  Jordan                  70    68
Ben                  Lash                    23    96
Ben                  Rush                    30    83
Benjamin             Jacobson                21    81
Benjamin             Plessala                45    82
Benjamin             Po An Su                37    78
Benjamin             Valic                   71    73
Beril                Pisgin-Saglam           61    74
Bert                 Berry                   62    71
Bess                 Daubenmire              52    82
Beth                 David                   40    73
Beth                 Sasseen                 70    70
Beth                 Sullivan                52    73
Bethany              Jane Hanson             41    91
Beyonc'              Knowles                 67    83
Bill                 Reichenbach             49    76
Bill                 Shea                    37    77
Billie               Eilish                  34    73
Bing                 Chen                    55    71
Blake                Henderson               42    82
Bob                  Morgan                  35    86
Bob                  Pauley                  63    72
Bob                  Peterson                61    69
Bob                  Whitehill               66    77
Brad                 Robinson                33    78
Brad                 Winemiller              35    87
Breck                Alverson                20    73
Bree                 Jenkins                 55    67
Brenda               Lin Zhang               52    74
Brendan              Beesley                 73    75
Brent                Dienst                  65    67
Breonna              Carter                  56    75
Bret                 Parker                  63    71
Brian                A. Perry                69    70
Brian                Bair                    56    67
Brian                Kilgore                 74    78
Brian                Tanaka                  36    73
Briana               Lee                     54    70
Brianna              Chapman                 44    71
Brianne              Moseley                 42    68
Britney              Best                    43    86
Britta               Wilson                  66    79
Brittany             Plung                   47    71
Bruce                Craig                   62    87
Bruce                Dukov                   64    78
Bruce                Kuei                    20    77
Bruna                Moniz Berford           49    69
Burton               Siu                     24    88
Byron                Bashforth               18    82
Caleb                Jeon                    20    76
Candace              Maga'a                  32    85
Capri                Oliver                  27    82
Carl                 Cole                    47    73
Carl                 Ellis                   56    67
Carl                 Harper                  32    91
Carliona             Dau-Kaufman             57    76
Carlos               Felipe Le'n             35    78
Carly                Riley                   42    84
Carol                Moen Wing               68    76
Carolina             Gaskin                  62    74
Caroline             Lachanski               35    79
Caroline             Requierme               46    69
Carolyn              Mazanec                 28    92
Carrie               Hobson                  43    82
Cassandra            Garcia                  22    96
Catherine            Bennett                 23    71
Catherine            Hang-Hicks              48    70
Catherine            Luo                     40    82
Catherine            Racette                 36    76
Cathleen             Carmean Pienaar         23    88
Cathy                Shirk                   68    68
Cedric               L. Williams             34    90
Chad                 Williams                53    78
Charles              Sochin                  24    72
Charlie              Lloyd                   48    70
Charlie              Bisharat                19    79
Charlie              Kilpatrick              23    95
Charlie              Tyler                   72    82
Chelsea              Murray                  22    82
Chelsea              Wright                  33    76
Cheng                Tse-Sing                24    67
Cherie               Hammond                 27    78
Cherise              Miller                  24    83
Cherry               Miller                  28    77
Cheryl               Ichikawa Wang           62    72
Cheryl               Nardi                   42    79
Chester              Higgins                 46    71
Chester              Nelson                  62    76
Chester              Richardson              34    88
Chia-an              Anne Fu                 69    74
Chris                Fogel                   26    94
Chris                Kaiser                  68    71
Chris                Lasell                  51    72
Chris                Sasaki                  30    87
Chris                Schoeneman              31    95
Chris                Stevenson               57    75
Chris                Wiggum                  39    71
Chrissa              Urquiola                51    75
Christian            J. Simon                28    71
